path,url,topic,source_pdf,duration,sentence,sentence_rus,flag
sound_0000014.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000014.mp3,42. Вечер,42. Вечер.pdf,2.33,Кӕм уыдзынӕ изӕрӕй?,Где ты будешь вечером?,-
sound_0000015.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000015.mp3,42. Вечер,42. Вечер.pdf,2.63,Ӕз изӕрӕй нӕхимӕ уыдзынӕн.,Я вечером буду дома.,-
sound_0000016.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000016.mp3,42. Вечер,42. Вечер.pdf,1.07,Изӕры-ма-иу нӕм ӕрбацу.,Приходи к нам вечером.,-
sound_0000017.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000017.mp3,42. Вечер,42. Вечер.pdf,2.56,Изӕры-ма-иу нӕм ӕрбацӕут.,Приходите к нам вечером.,-
sound_0000018.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000018.mp3,42. Вечер,42. Вечер.pdf,2.7,Изӕры дӕм ӕнхъӕлмӕ кӕсдзынӕн.,Вечером я тебя буду ждать.,-
sound_0000019.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000019.mp3,42. Вечер,42. Вечер.pdf,2.68,Изӕры уӕм ӕнхъӕлмӕ кӕсдзынӕн.,Вечером я вас буду ждать.,-
sound_0000020.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000020.mp3,43. Ночь,43. Ночь.pdf,1.2,Ӕхсӕв хӕхты уазал вӕййы.,Ночью в горах холодно.,-
sound_0000021.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000021.mp3,43. Ночь,43. Ночь.pdf,0.82,Ӕз фӕстӕмӕ ӕрыздӕхдзынӕн ӕхсӕвы.,Я обратно вернусь ночью.,-
sound_0000022.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000022.mp3,43. Ночь,43. Ночь.pdf,5.52,Куыд талынг ӕхсӕв у!,Какая темная ночь!,-
sound_0000023.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000023.mp3,43. Ночь,43. Ночь.pdf,4.0,Куыд диссаджы мӕйрухс ӕхсӕв у!,Какая прекрасная лунная ночь!,-
sound_0000024.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000024.mp3,43. Ночь,43. Ночь.pdf,6.95,"Куыд дӕм кӕсы, ахсӕв уардзӕн?","Как тебе кажется, ночью будет дождь?",⚠ распознан как русский — на проверку
,,44. Времена года,44. Времена года.pdf,0.0,ГОДА,44. ВРЕМЕНА,нет осетинского аудио — проверить
,,44. Времена года,44. Времена года.pdf,0.0,Афӕдзы афонтӕй мӕ зӕрдӕмӕ тынгдӕр цӕуы зымӕг.,Из времен года мне больше всего нравится зима.,нет осетинского аудио — проверить
sound_0000025.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000025.mp3,44. Времена года,44. Времена года.pdf,6.1,Уазал зымӕг уӕм вӕййы?,У вас зима бывает холодная?,-
sound_0000026.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000026.mp3,44. Времена года,44. Времена года.pdf,1.96,Бирӕ мит ӕруары?,Снега выпадает много?,-
sound_0000027.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000027.mp3,44. Времена года,44. Времена года.pdf,1.42,Цал мӕйы ахӕссы зымӕг?,Сколько месяцев длится зима?,-
sound_0000028.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000028.mp3,44. Времена года,44. Времена года.pdf,2.27,Ныртӕккӕ у рагуалдзӕг.,Сейчас ранняя весна.,-
sound_0000029.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000029.mp3,44. Времена года,44. Времена года.pdf,2.3,Цы рӕсугъд у уалдзыгон райсом хӕхты!,Как красиво весеннее утро в горах!,-
sound_0000030.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000030.mp3,44. Времена года,44. Времена года.pdf,4.07,Сӕрд уӕм уарынджын вӕййы?,Лето у вас дождливое?,-
sound_0000031.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000031.mp3,44. Времена года,44. Времена года.pdf,2.91,Уарынтӕ арӕхдӕр вӕййы хӕхрӕбынты.,Дожди чаще выпадают в предгорьях.,-
sound_0000032.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000032.mp3,44. Времена года,44. Времена года.pdf,3.19,Куыд хорз у сӕрдыгон бон бӕлӕсты бын сатӕджы баулӕфын.,Как хорошо в летний день отдохнуть в тени деревьев.,-
sound_0000033.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000033.mp3,44. Времена года,44. Времена года.pdf,4.76,Пайдау сӕрд хӕхты арвитын.,Полезно провести лето в горах.,-
sound_0000034.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000034.mp3,44. Времена года,44. Времена года.pdf,2.72,Хӕххон уӕлдӕф адӕймагӕн ӕвдадзы хос у.,Горный воздух — бальзам для человека.,-
sound_0000035.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000035.mp3,44. Времена года,44. Времена года.pdf,3.26,Ралӕууыд сызгъӕрин фӕззӕг.,Наступила золотая осень.,-
sound_0000036.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000036.mp3,44. Времена года,44. Времена года.pdf,8.56,Куыд нӕ уарзын фӕззыгон сӕлфынӕг къӕвдатӕ.,Как я не люблю осенние моросящие дожди.,-
sound_0000037.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000037.mp3,45. Год,45. Год.pdf,1.6,Кӕцы азы уыди уый?,В каком году это было?,-
sound_0000038.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000038.mp3,45. Год,45. Год.pdf,4.91,Уый уыди мин фарастсӕдӕ нӕуӕдз дыккӕгӕм азы.,Это было в 1992 году.,-
,,45. Год,45. Год.pdf,0.0,Иннӕ аз мӕ фырт бацӕудзӕн скъоламӕ.,На будущий год мой сын пойдет в школу.,нет осетинского аудио — проверить
,,45. Год,45. Год.pdf,0.0,Ацы аз тыллӕгджын аз у.,Нынешний год урожайный.,нет осетинского аудио — проверить
sound_0000039.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000039.mp3,45. Год,45. Год.pdf,3.34,Афӕдзы дӕргъы.,В течение года.,-
sound_0000040.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000040.mp3,45. Год,45. Год.pdf,2.11,Дыууынӕм ӕнус.,Двадцатый век.,-
sound_0000041.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000041.mp3,45. Год,45. Год.pdf,2.26,Мах эрӕйы размӕ.,До нашей эры.,-
sound_0000042.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000042.mp3,46. Дни недели,46. Дни недели.pdf,0.69,недели,46. Дни,-
sound_0000043.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000043.mp3,46. Дни недели,46. Дни недели.pdf,16.33,къуырисӕр.,понедельник.,⚠ распознан как русский — на проверку
,,46. Дни недели,46. Дни недели.pdf,0.0,Къуырийы фӕстӕ мах цӕугӕ кӕнӕм.,Через неделю мы уезжаем.,нет осетинского аудио — проверить
sound_0000044.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000044.mp3,46. Дни недели,46. Дни недели.pdf,11.94,Уый уыди дыууӕ къуырийы размӕ.,Это было две недели тому назад.,-
sound_0000045.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000045.mp3,47. Час,47. Час.pdf,1.11,Цал сахаты у?,Который час?,-
sound_0000046.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000046.mp3,47. Час,47. Час.pdf,5.47,Ныртӕккӕ у…,Сейчас…,-
sound_0000047.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000047.mp3,47. Час,47. Час.pdf,16.82,ӕртӕ сахаты.,три часа,⚠ распознан как русский — на проверку
sound_0000048.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000048.mp3,47. Час,47. Час.pdf,1.8,боны дыууӕ сахатыл.,в два часа дня.,-
sound_0000049.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000049.mp3,47. Час,47. Час.pdf,1.97,ӕхсӕвы ӕртӕ сахатыл.,в три часа ночи.,-
sound_0000050.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000050.mp3,47. Час,47. Час.pdf,1.45,дӕсӕм ӕрдӕгыл.,в половине десятого.,-
sound_0000051.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000051.mp3,47. Час,47. Час.pdf,1.59,фарӕстӕм ӕрдӕгыл.,в половине девятого.,-
sound_0000052.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000052.mp3,47. Час,47. Час.pdf,4.94,Фынддӕс минуты мӕм банхъӕлмӕ кӕс.,Подожди меня пятнадцать минут.,-
sound_0000053.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000053.mp3,47. Час,47. Час.pdf,4.1,Сахаты ʼрдӕг мӕм банхъӕлмӕ кӕс.,Подожди меня полчаса.,⚠ распознан как русский — на проверку
sound_0000054.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000054.mp3,47. Час,47. Час.pdf,1.88,Мӕнӕн рӕстӕг нал ис.,У меня уже нет времени.,-
sound_0000055.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000055.mp3,48. Месяцы,48. Месяцы.pdf,0.56,Ӕрбахӕццӕ кӕны январь.,Приближается январь.,-
sound_0000056.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000056.mp3,48. Месяцы,48. Месяцы.pdf,0.39,Уый уыдзӕн мӕйы фӕстӕ.,Это будет через месяц.,-
sound_0000057.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000057.mp3,48. Месяцы,48. Месяцы.pdf,0.58,Мӕ отпуск уыдзӕни мӕй ӕмӕ ӕрджӕджы фӕстӕ.,Отпуск у меня будет через полтора месяца.,-
sound_0000058.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000058.mp3,48. Месяцы,48. Месяцы.pdf,17.63,Кӕд уӕм райдайынц…,Когда у вас начинают...,-
sound_0000059.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000059.mp3,48. Месяцы,48. Месяцы.pdf,3.49,Кӕд уӕм сцӕттӕ вӕййы…,Когда у вас поспевает…,-
sound_0000060.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000060.mp3,48. Месяцы,48. Месяцы.pdf,0.58,мӕнӕу?,пшеница?,-
sound_0000061.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000061.mp3,48. Месяцы,48. Месяцы.pdf,0.5,Тур кмӕ.,в Турцию.,-
sound_0000062.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000062.mp3,48. Месяцы,48. Месяцы.pdf,7.82,Цалдӕр мӕйы фӕстӕ мах хъуамӕ ӕнӕмӕнг сӕмбӕлӕм.,Через несколько месяцев мы должны обязательно встретиться.,-
sound_0000063.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000063.mp3,48. Месяцы,48. Месяцы.pdf,30.42,Абон цалӕм у?,Какое сегодня число?,⚠ распознан как русский — на проверку; очень длинный — проверить
sound_0000064.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000064.mp3,49. Погода,49. Погода.pdf,0.93,Абон цавӕр рӕстӕг у?,Какая сегодня погода?,-
sound_0000065.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000065.mp3,49. Погода,49. Погода.pdf,0.5,Абон хорз бон скодта.,Сегодня хорошая погода.,-
sound_0000066.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000066.mp3,49. Погода,49. Погода.pdf,0.38,Абон ӕвзӕр бон скодта.,Сегодня плохая погода.,-
,,49. Погода,49. Погода.pdf,0.0,уазал бон у.,холодно.,не удалось выровнять — нарезать вручную
sound_0000067.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000067.mp3,49. Погода,49. Погода.pdf,0.75,мигъ бон у.,туман.,-
sound_0000068.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000068.mp3,49. Погода,49. Погода.pdf,1.99,дымгӕ бон у.,ветер.,-
,,49. Погода,49. Погода.pdf,0.0,Рӕстӕджы сводкӕмӕ хъуыстай?,Ты слушал сводку о погоде?,выравнивание не удалось — проверить
,,49. Погода,49. Погода.pdf,0.0,Цавӕр рӕстӕг уыдзӕн райсом?,Какая завтра будет погода?,выравнивание не удалось — проверить
,,49. Погода,49. Погода.pdf,0.0,Райсом уыдзӕни…,Завтра будет…,выравнивание не удалось — проверить
sound_0000069.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000069.mp3,49. Погода,49. Погода.pdf,1.7,мит.,снег.,-
sound_0000070.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000070.mp3,49. Погода,49. Погода.pdf,2.68,дыууын аст градусы хъарм.,двадцать восемь градусов тепла.,-
sound_0000071.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000071.mp3,49. Погода,49. Погода.pdf,1.9,Абон цы диссаджы бон скодта!,Какая сегодня чудесная погода!,-
sound_0000072.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000072.mp3,49. Погода,49. Погода.pdf,37.69,Рӕстӕг хӕхты иваг у.,Погода в горах изменчива.,очень длинный — проверить
,,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",0.0,Ӕз фыццаг хатт дӕн сымах горӕты.,Я первый раз в вашем городе.,нет осетинского аудио — проверить
sound_0000073.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000073.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",3.64,Мах фыццаг хатт стӕм сымах хъӕуы.,Мы первый раз в вашем селе.,-
sound_0000074.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000074.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",1.38,Мӕ зӕрдӕмӕ тынг фӕцыди уӕ горӕт.,Мне очень понравился ваш город.,-
,,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",0.0,Цы фенӕн ис уӕ горӕты.,Что можно посмотреть в вашем городе?,нет осетинского аудио — проверить
sound_0000075.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000075.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",2.42,Кӕм ис ам,Где здесь,-
sound_0000076.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000076.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",1.01,вокзал?,вокзал?,-
sound_0000077.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000077.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",1.59,почтӕ?,почта?,-
sound_0000078.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000078.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",0.61,"Дӕ хорзӕхӕй, тагъддӕр цу!","Поезжай, пожалуйста, быстрей!",-
sound_0000079.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000079.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",6.83,Бауром машинӕ.,Останови машину.,-
sound_0000080.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000080.mp3,"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",8.7,Терк кӕлы горӕт Дзӕу джыхъӕуы астӕуты.,Терек течет посередине города Владикавказа.,-
,,50. Ч. 2. Заблудиться,50. Ч. 2. Заблудиться.pdf,0.0,Ӕз фӕдзӕгъӕл дӕн.,Я заблудился.,нет осетинского аудио — проверить
sound_0000081.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000081.mp3,50. Ч. 2. Заблудиться,50. Ч. 2. Заблудиться.pdf,7.2,скъола.,школа.,⚠ распознан как русский — на проверку
,,50. Ч. 2. Заблудиться,50. Ч. 2. Заблудиться.pdf,0.0,дук ани.,магазин.,нет осетинского аудио — проверить
sound_0000082.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000082.mp3,50. Ч. 2. Заблудиться,50. Ч. 2. Заблудиться.pdf,13.33,"Ӕз ардыгон нӕ дӕн, амы бынӕттӕ нӕ зонын.","Я нездешний, не знаю местности.",-
sound_0000083.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000083.mp3,50. Ч. 3. Мост,50. Ч. 3. Мост.pdf,1.82,Ацы хидыл бацӕуын тӕссаг нӕу?,Не опасно ли пройти по этому мосту?,-
sound_0000084.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000084.mp3,50. Ч. 3. Мост,50. Ч. 3. Мост.pdf,0.6,Ӕз нӕ уӕн дын ацы хидыл цӕуын.,Я боюсь идти по этому мосту.,-
sound_0000085.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000085.mp3,50. Ч. 3. Мост,50. Ч. 3. Мост.pdf,2.39,Фех хуыс-ма мын кӕн фаллаг фарсмӕ бахизынмӕ.,Помоги мне перебраться на ту сторону.,-
sound_0000086.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000086.mp3,50. Ч. 3. Мост,50. Ч. 3. Мост.pdf,7.26,Ам хид саразын хъӕуы.,Здесь надо построить мост.,⚠ распознан как русский — на проверку
sound_0000087.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000087.mp3,50. Ч. 4. Население,50. Ч. 4. Население.pdf,2.5,Цал адӕймаджы цӕры уӕ горӕты?,Сколько человек проживает в вашем городе?,-
sound_0000088.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000088.mp3,50. Ч. 4. Население,50. Ч. 4. Население.pdf,2.28,Цавӕр адӕмы хӕттытӕ уӕм цӕры?,Люди каких национальностей живут у вас?,-
sound_0000089.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000089.mp3,50. Ч. 4. Население,50. Ч. 4. Население.pdf,1.8,Махмӕ цӕрынц…,У нас живут…,-
sound_0000090.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000090.mp3,50. Ч. 4. Население,50. Ч. 4. Население.pdf,11.08,"Мах хъӕуы цӕрынц… уырыссӕгтӕ, украинӕгтӕ, ирӕттӕ, гуырдзиӕгтӕ, сомихӕгтӕ ӕмӕ ӕндӕр адӕмы хӕттытӕ.","В нашем селе живут… русские, украинцы, осетины, грузины, армяне и люди других национальностей.",-
sound_0000091.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000091.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,2.17,Ацы цырт кӕмӕн ӕвӕрд у?,Кому поставлен этот памятник?,-
sound_0000092.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000092.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,5.91,Мӕн фӕнды инӕлар Плийы-фырты цырт фенын.,Я хочу посмотреть памятник генералу Плиеву.,-
sound_0000093.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000093.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,2.1,Кӕд ӕрцыд ӕвӕрд ацы цырт?,Когда был поставлен этот памятник?,-
sound_0000094.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000094.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,3.07,Ӕфсымӕрон ингӕн кӕцы ран ис?,Где братская могила?,-
sound_0000095.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000095.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,3.5,Ӕфсымӕрон ингӕнмӕ-ма мӕ схӕццӕ кӕн.,Проведи меня до братской могилы.,-
sound_0000096.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000096.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,1.9,Цал адӕймаджы ныгӕд дзы ис?,Сколько человек там похоронено?,-
sound_0000097.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000097.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,12.18,Ацы ʼфсымӕрон ингӕны ныгӕдис ӕвддӕс мин адӕймаджы.,В этой братской могиле похоронено 17 тысяч человек.,-
sound_0000098.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000098.mp3,50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,4.12,Хетӕгкаты Къостайы цырт мӕ зӕрдӕмӕ тынг цӕуы.,Мне очень нравиться памятник Коста Хетагурову.,-
sound_0000099.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000099.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,0.32,Уӕ горӕты парк ис?,Есть ли у вас в городе парк?,-
sound_0000100.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000100.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,0.89,Цомут паркмӕ.,Пойдемте в парк.,-
sound_0000101.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000101.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,0.61,Дӕ зӕрдӕмӕ цӕуынӕ парк?,Нравится тебе наш парк?,-
sound_0000102.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000102.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,3.51,Фыццаг хатт дӕ ацы парчы?,Ты первый раз в этом парке?,-
sound_0000103.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000103.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,14.63,Абадӕм ам бандоныл.,Посидим здесь на скамейке.,-
sound_0000104.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000104.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,2.06,Цы бӕрзонд бӕлас у!,Какое высокое дерево!,-
sound_0000105.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000105.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,1.77,Цом ацы аллейӕйыл.,Пойдем по этой аллее.,-
sound_0000106.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000106.mp3,50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,10.92,Фӕскомцӕдисон парк кӕм и?,Где находится Комсомольский парк?,⚠ распознан как русский — на проверку
sound_0000107.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000107.mp3,50. Ч. 7. Площадь,50. Ч. 7. Площадь.pdf,2.14,Горӕты сӕйраг фӕзы ном куыд у?,Как называется центральная площадь города?,-
sound_0000108.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000108.mp3,50. Ч. 7. Площадь,50. Ч. 7. Площадь.pdf,0.36,Ацы фӕзы ном куыд у?,Как эта площадь называется?,-
sound_0000109.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000109.mp3,50. Ч. 7. Площадь,50. Ч. 7. Площадь.pdf,7.64,Ленины фӕзмӕ-ма мӕ схӕццӕ кӕн.,Проводи меня до площади Ленина.,-
sound_0000110.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000110.mp3,50. Ч. 8. Рынок,50. Ч. 8. Рынок.pdf,2.47,Уӕ горӕты базар ис?,Есть ли у вас в городе базар?,-
sound_0000111.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000111.mp3,50. Ч. 8. Рынок,50. Ч. 8. Рынок.pdf,1.09,Дард у базар?,Далеко ли до рынка?,-
,,50. Ч. 8. Рынок,50. Ч. 8. Рынок.pdf,0.0,Кӕм ис ам…,Где здесь…,нет осетинского аудио — проверить
sound_0000112.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000112.mp3,50. Ч. 8. Рынок,50. Ч. 8. Рынок.pdf,6.14,фыды павильон?,мясной павильон?,-
