topic	row	note	audio	russian	ossetian
43. Ночь	5	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Как тебе кажется, ночью будет дождь?	Куыд дӕм кӕсы, ахсӕв уардзӕн?
44. Времена года	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	44. ВРЕМЕНА	ГОДА
44. Времена года	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Из времен года мне больше всего нравится зима.	Афӕдзы афонтӕй мӕ зӕрдӕмӕ тынгдӕр цӕуы зымӕг.
44. Времена года	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	У вас зима бывает холодная?	Уазал зымӕг уӕм вӕййы?
44. Времена года	6	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Сейчас ранняя весна.	Ныртӕккӕ у рагуалдзӕг.
44. Времена года	7	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Как красиво весеннее утро в горах!	Цы рӕсугъд у уалдзыгон райсом хӕхты!
44. Времена года	8	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Лето у вас дождливое?	Сӕрд уӕм уарынджын вӕййы?
44. Времена года	9	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Дожди чаще выпадают в предгорьях.	Уарынтӕ арӕхдӕр вӕййы хӕхрӕбынты.
44. Времена года	11	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Полезно провести лето в горах.	Пайдау сӕрд хӕхты арвитын.
44. Времена года	12	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Горный воздух — бальзам для человека.	Хӕххон уӕлдӕф адӕймагӕн ӕвдадзы хос у.
44. Времена года	14	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	Как я не люблю осенние моросящие дожди.	Куыд нӕ уарзын фӕззыгон сӕлфынӕг къӕвдатӕ.
45. Год	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	На будущий год мой сын пойдет в школу.	Иннӕ аз мӕ фырт бацӕудзӕн скъоламӕ.
45. Год	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Нынешний год урожайный.	Ацы аз тыллӕгджын аз у.
45. Год	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	До нашей эры.	Мах эрӕйы размӕ.
46. Дни недели	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	46. Дни	недели
46. Дни недели	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	понедельник.	къуырисӕр.
46. Дни недели	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Через неделю мы уезжаем.	Къуырийы фӕстӕ мах цӕугӕ кӕнӕм.
47. Час	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Сейчас…	Ныртӕккӕ у…
47. Час	5	групповая привязка осетинских клипов — сверить на слух	sound/0018.mp3	в три часа ночи.	ӕхсӕвы ӕртӕ сахатыл.
47. Час	8	групповая привязка осетинских клипов — сверить на слух	sound/0021.mp3	Подожди меня пятнадцать минут.	Фынддӕс минуты мӕм банхъӕлмӕ кӕс.
47. Час	9	групповая привязка осетинских клипов — сверить на слух	sound/0022.mp3	Подожди меня полчаса.	Сахаты ʼрдӕг мӕм банхъӕлмӕ кӕс.
47. Час	10	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0023.mp3	У меня уже нет времени.	Мӕнӕн рӕстӕг нал ис.
48. Месяцы	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Приближается январь.	Ӕрбахӕццӕ кӕны январь.
48. Месяцы	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Это будет через месяц.	Уый уыдзӕн мӕйы фӕстӕ.
48. Месяцы	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Отпуск у меня будет через полтора месяца.	Мӕ отпуск уыдзӕни мӕй ӕмӕ ӕрджӕджы фӕстӕ.
48. Месяцы	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Когда у вас начинают...	Кӕд уӕм райдайынц…
48. Месяцы	5	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Когда у вас поспевает…	Кӕд уӕм сцӕттӕ вӕййы…
48. Месяцы	6	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	пшеница?	мӕнӕу?
48. Месяцы	7	групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	в Турцию.	Тур кмӕ.
48. Месяцы	9	групповая привязка осетинских клипов — сверить на слух	sound/0018.mp3	Какое сегодня число?	Абон цалӕм у?
49. Погода	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Какая сегодня погода?	Абон цавӕр рӕстӕг у?
49. Погода	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Сегодня хорошая погода.	Абон хорз бон скодта.
49. Погода	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Сегодня плохая погода.	Абон ӕвзӕр бон скодта.
49. Погода	4	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	холодно.	уазал бон у.
49. Погода	5	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	туман.	мигъ бон у.
49. Погода	6	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	ветер.	дымгӕ бон у.
49. Погода	8	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Какая завтра будет погода?	Цавӕр рӕстӕг уыдзӕн райсом?
49. Погода	9	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Завтра будет…	Райсом уыдзӕни…
49. Погода	10	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	снег.	мит.
49. Погода	11	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	двадцать восемь градусов тепла.	дыууын аст градусы хъарм.
49. Погода	13	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0018.mp3	Погода в горах изменчива.	Рӕстӕг хӕхты иваг у.
50. Ч. 1. В городе, селе	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Я первый раз в вашем городе.	Ӕз фыццаг хатт дӕн сымах горӕты.
50. Ч. 1. В городе, селе	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Мы первый раз в вашем селе.	Мах фыццаг хатт стӕм сымах хъӕуы.
50. Ч. 1. В городе, селе	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Мне очень понравился ваш город.	Мӕ зӕрдӕмӕ тынг фӕцыди уӕ горӕт.
50. Ч. 1. В городе, селе	4	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Что можно посмотреть в вашем городе?	Цы фенӕн ис уӕ горӕты.
50. Ч. 1. В городе, селе	5	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Где здесь	Кӕм ис ам
50. Ч. 1. В городе, селе	6	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	вокзал?	вокзал?
50. Ч. 1. В городе, селе	7	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	почта?	почтӕ?
50. Ч. 1. В городе, селе	8	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Поезжай, пожалуйста, быстрей!	Дӕ хорзӕхӕй, тагъддӕр цу!
50. Ч. 1. В городе, селе	9	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	Останови машину.	Бауром машинӕ.
50. Ч. 1. В городе, селе	10	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	Терек течет посередине города Владикавказа.	Терк кӕлы горӕт Дзӕу джыхъӕуы астӕуты.
50. Ч. 2. Заблудиться	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Я заблудился.	Ӕз фӕдзӕгъӕл дӕн.
50. Ч. 2. Заблудиться	3	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	магазин.	дук ани.
50. Ч. 2. Заблудиться	4	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	Я нездешний, не знаю местности.	Ӕз ардыгон нӕ дӕн, амы бынӕттӕ нӕ зонын.
50. Ч. 3. Мост	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Помоги мне перебраться на ту сторону.	Фех хуыс-ма мын кӕн фаллаг фарсмӕ бахизынмӕ.
50. Ч. 4. Население	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Люди каких национальностей живут у вас?	Цавӕр адӕмы хӕттытӕ уӕм цӕры?
50. Ч. 4. Население	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	У нас живут…	Махмӕ цӕрынц…
50. Ч. 4. Население	4	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	В нашем селе живут… русские, украинцы, осетины, грузины, армяне и люди других национальностей.	Мах хъӕуы цӕрынц… уырыссӕгтӕ, украинӕгтӕ, ирӕттӕ, гуырдзиӕгтӕ, сомихӕгтӕ ӕмӕ ӕндӕр адӕмы хӕттытӕ.
50. Ч. 5. Население	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Кому поставлен этот памятник?	Ацы цырт кӕмӕн ӕвӕрд у?
50. Ч. 5. Население	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Я хочу посмотреть памятник генералу Плиеву.	Мӕн фӕнды инӕлар Плийы-фырты цырт фенын.
50. Ч. 5. Население	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Где братская могила?	Ӕфсымӕрон ингӕн кӕцы ран ис?
50. Ч. 5. Население	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Проведи меня до братской могилы.	Ӕфсымӕрон ингӕнмӕ-ма мӕ схӕццӕ кӕн.
50. Ч. 5. Население	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	В этой братской могиле похоронено 17 тысяч человек.	Ацы ʼфсымӕрон ингӕны ныгӕдис ӕвддӕс мин адӕймаджы.
50. Ч. 5. Население	8	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Мне очень нравиться памятник Коста Хетагурову.	Хетӕгкаты Къостайы цырт мӕ зӕрдӕмӕ тынг цӕуы.
50. Ч. 6. Парк	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Есть ли у вас в городе парк?	Уӕ горӕты парк ис?
50. Ч. 6. Парк	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Пойдемте в парк.	Цомут паркмӕ.
50. Ч. 6. Парк	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Нравится тебе наш парк?	Дӕ зӕрдӕмӕ цӕуынӕ парк?
50. Ч. 7. Площадь	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Как эта площадь называется?	Ацы фӕзы ном куыд у?
50. Ч. 7. Площадь	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Проводи меня до площади Ленина.	Ленины фӕзмӕ-ма мӕ схӕццӕ кӕн.
50. Ч. 8. Рынок	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Есть ли у вас в городе базар?	Уӕ горӕты базар ис?
50. Ч. 8. Рынок	3	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Где здесь…	Кӕм ис ам…
50. Ч. 8. Рынок	4	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	мясной павильон?	фыды павильон?
50. Ч. 9. Улица	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Где находится улица Пушкина?	Кӕм ис Пуш кины уынг?
50. Ч. 9. Улица	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Где находится улица	Кӕм ис Хетӕгкаты Къостайы уынг?
50. Ч. 9. Улица	5	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Пойдемте по этой улице.	Мӕнӕ ацы уынгыл цом.
50. Ч. 9. Улица	6	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Как много новых домов по этой улице!	Цы бирӕ ног хӕдзӕрттӕ ис ацы уынджы!
51. Ч.1. Адрес	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Запиши, пожалуйста, мой адрес.	Ныффыс, табуа фси, мӕ адрес.
51. Ч.1. Адрес	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Я не знаю твоего адреса.	Дӕ адрес дын нӕ зонын.
51. Ч.1. Адрес	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Я не знаю его адреса.	Йӕ адрис ын нӕ зонын.
51. Ч.1. Адрес	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Сообщишь мне свой адрес.	Дӕ адрис-ма мын фехъусын кӕн.
51. Ч.2. Бандероль	2	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Отправь, пожалуйста, эту бандероль.	Ацы бандероль-ма арвит, дӕ хорзӕхӕй.
51. Ч.3. Конверт, бланк	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Где можно купить почтовую бумагу?	Кӕм балхӕнӕн ис фыссыны гӕххӕт?
51. Ч.3. Конверт, бланк	2	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Дайте мне бланк для телеграммы.	Авӕр-ма мын телеграммӕйы бланк.
51. Ч.4. Открытка	1	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	с видами вашего города.	уӕ горӕты нывтимӕ.
51. Ч.5. Письмо	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Запиши, пожалуйста, мой адрес.	Ныффыс, табуа фси, мӕ адрес.
51. Ч.5. Письмо	2	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Отправь, пожалуйста, эту бандероль.	Ацы бандероль-ма арвит, дӕ хорзӕхӕй.
51. Ч.5. Письмо	3	групповая привязка осетинских клипов — сверить на слух	sound/0018.mp3	Напиши мне, пожалуйста, письмо на осетинском языке.	Дӕ хорзӕхӕй, иронау-ма мӕм фыстӕг ныффыс.
51. Ч.5. Письмо	4	групповая привязка осетинских клипов — сверить на слух	sound/0019.mp3	Пожалуйста, что ты хочешь написать, диктуй.	Табуа фси, цы дӕ фӕнды ныфыссын, дзур.
51. Ч.5. Письмо	5	групповая привязка осетинских клипов — сверить на слух	sound/0020.mp3	Отправь это письмо.	Ацы писмо-ма арвит.
51. Ч.5. Письмо	6	групповая привязка осетинских клипов — сверить на слух	sound/0021.mp3	Отпусти в ящик это письмо.	Ацы писмо-ма посты асыччы ныппар.
51. Ч.5. Письмо	7	групповая привязка осетинских клипов — сверить на слух	sound/0022.mp3	Разреши мне переписываться с тобой.	Бар мын ратт дӕумӕ писмотӕ фыссынӕн.
51. Ч.5. Письмо	8	групповая привязка осетинских клипов — сверить на слух	sound/0023.mp3	Мне будет очень приятно получать от тебя письма.	Мӕнӕн тынг ӕхсызгон уыдзӕни дӕуӕй писмотӕ исын.
51. Ч.5. Письмо	10	групповая привязка осетинских клипов — сверить на слух	sound/0025.mp3	Я люблю писать письма.	Ӕз уарзын писмотӕ фысын.
51. Ч.5. Письмо	11	групповая привязка осетинских клипов — сверить на слух	sound/0026.mp3	Я не люблю писать письма.	Ӕз нӕ уарзын писмотӕ фысын.
51. Ч.5. Письмо	12	групповая привязка осетинских клипов — сверить на слух	sound/0027.mp3	Передай, пожалуйста, это письмо Сослану.	Ацы писмо, дӕ хорзӕхӕй, Сосланмӕ ратт.
51. Ч.5. Письмо	13	групповая привязка осетинских клипов — сверить на слух	sound/0028.mp3	Спасибо за письмо.	Буз ныг дӕ писмойы тыххӕй.
51. Ч.6. Почта, телеграф	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0030.mp3	Прости, где здесь почта?	Бахатыр кӕн, кӕм и ам почтӕ?
51. Ч.6. Почта, телеграф	2	групповая привязка осетинских клипов — сверить на слух	sound/0031.mp3	Как можно позвонить в город?	Куыд адзырӕуа телефонӕй горӕтмӕ?
51. Ч.6. Почта, телеграф	3	групповая привязка осетинских клипов — сверить на слух	sound/0032.mp3	Мне надо позвонить в скорую помощь.	Мӕн адзурын хъӕуы телефонӕй тагъд ӕххуысмӕ.
51. Ч.7. Телеграмма	1	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Где принимают здесь бандероли?	Кӕм исынц ам бандерольтӕ?
51. Ч.8. Парикмахерская	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Нет ли у тебя бритвы?	Сӕрдасӕн дӕм нӕй?
51. Ч.8. Парикмахерская	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Нет ли у вас бритвы?	Сӕрдасӕн уӕм нӕй?
51. Ч.8. Парикмахерская	6	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Постриги не волосы короче.	Мӕ сӕрыхъуынтӕ-ма мын алвын цыбырдӕр..
51. Ч.8. Парикмахерская	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Дай мне, пожалуйста, ножницы.	Хӕсгард-ма мӕм авӕр, дӕ хорзӕхӕй.
51. Ч.8. Парикмахерская	8	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Я хочу покрасить волосы.	Мӕн фӕндымӕ дзыккутӕ сахорын.
51. Ч.8. Парикмахерская	9	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Дай мне зеркало.	Ӕри-ма мын кӕсӕн.
52. Фотография, фототовары	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Где живет фотограф?	Хуызисӕг кӕм цӕры?
52. Фотография, фототовары	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Я хочу сфотографироваться.	Мӕн фӕндымӕ хуыз сисын.
52. Фотография, фототовары	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Мы хотим сфотографироваться.	Мах фӕндынӕ хуыз сисын.
52. Фотография, фототовары	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Пожалуйста, как ты хочешь сфотографироваться?	Табуа фси, куыд дӕ фӕнды дӕ хуыз сисын?
52. Фотография, фототовары	6	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Пожалуйста, как вы хотите сфотографироваться?	Табуа фси, куыд уӕ фӕнды уӕ хуыз сисын?
52. Фотография, фототовары	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Сфотографируй меня...	Сис-ма мын мӕ хуыз…
52. Фотография, фототовары	8	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Сфотографируй нас....	Сис-ма нын нӕ хуыз…
52. Фотография, фототовары	9	групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	Стань так, я тебя сфотографирую.	Афтӕ слӕуу, ӕз дын дӕ хуыз сисон.
52. Фотография, фототовары	10	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	Станьте так, я вас сфотографирую.	Афтӕ слӕуут, ӕз уын уӕ хуыз сисон.
52. Фотография, фототовары	11	групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	Подари мне на память свою фотографию.	Зӕрдыл дарынӕн-ма мын дӕ къам балӕвар кӕн.
53. Ч.1. Ванна	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Я хочу искупаться.	Мӕн фӕнды мӕхи ныннайын.
53. Ч.1. Ванна	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Где у вас ванна?	Кӕм и уӕ ваннӕ?
53. Ч.1. Ванна	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Где у вас можно помыться?	Кӕм уӕм ис хи цӕхсӕн?
53. Ч.1. Ванна	4	варианты в исходном PDF — сверить по Whisper/на слух	sound/0004.mp3	Есть у вас в селении баня? Гость, Есть ли здесь гостиница?	Уӕ хъӕуы абана ис? гостиница.
53. Ч.10. Шитье	1	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	свои брюки.	Мӕ хӕлаф
53. Ч.10. Шитье	2	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Я хочу заказать брюки.	Мӕ зӕрды ис хӕлаф бахуыйын кӕнын.
53. Ч.2. Гость, гостиница	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Открой, пожалуйста, дверь.	Дуар-ма бакӕн, дӕ хорзӕхӕй.
53. Ч.3. Дверь	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Открой, пожалуйста, окно.	Руд зынг-ма бакӕ, дӕ хорзӕхӕй.
53. Ч.3. Дверь	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Закрой, пожалуйста, окно.	Руд зынг-ма сӕхгӕ, дӕ хорзӕхӕй.
53. Ч.4. Окно	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Затопи, пожалуйста, камин.	Камины арт бакӕн, дӕ хорзӕхӕй.
53. Ч.8. Стирка	1	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Куда можно сдать вещь в чистку?	Дзаума сыгъдӕг кӕнынмӕ кӕдӕм радтӕ уа?
53. Ч.9. Чистка	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	свой пиджак.	Мӕ пиджак
53. Ч.9. Чистка	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	свои брюки.	Мӕ хӕлаф
53. Ч.9. Чистка	3	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	свое платье.	Мӕ къаба
54. Ч.1. Ресторан, буфет, столовая	1	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	буфет?	буфетис?
54. Ч.1. Ресторан, буфет, столовая	2	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	ресторан?	ресторан ис?
54. Ч.1. Ресторан, буфет, столовая	3	групповая привязка осетинских клипов — сверить на слух	sound/0019.mp3	Этот стол не занят?	Ацы стъол ахст нӕу?
54. Ч.1. Ресторан, буфет, столовая	4	групповая привязка осетинских клипов — сверить на слух	sound/0020.mp3	Этот стул не занят?	Ацы бандон ахст нӕу?
54. Ч.1. Ресторан, буфет, столовая	5	групповая привязка осетинских клипов — сверить на слух	sound/0021.mp3	Можно с тобой сесть?	Демӕ сбадын ӕмбӕлы?
54. Ч.1. Ресторан, буфет, столовая	6	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0023.mp3	Пожалуйста, садись.	Табуа фси, сбад.
54. Ч.10. Приправа и специи	1	групповая привязка осетинских клипов — сверить на слух	sound/0041.mp3	Принеси соль.	Цӕхх-ма рахӕсс.
54. Ч.10. Приправа и специи	2	групповая привязка осетинских клипов — сверить на слух	sound/0042.mp3	Принеси горчицу.	Горчицӕ-ма рахӕсс.
54. Ч.10. Приправа и специи	3	групповая привязка осетинских клипов — сверить на слух	sound/0043.mp3	Принеси красный перец.	Сырх цывзы-ма рахӕсс.
54. Ч.10. Приправа и специи	4	групповая привязка осетинских клипов — сверить на слух	sound/0044.mp3	Принеси черный перец.	Бырц-ма рахӕсс.
54. Ч.11. Счет	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Принеси, пожалуйста…	Рахӕсс-ма, дӕ хорзӕхӕй…
54. Ч.11. Счет	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Дай мне, пожалуйста,…	Авӕр-ма мын, дӕ хорзӕхӕй,…
54. Ч.11. Счет	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	Дай нам, пожалуйста,…	Авӕр-ма нын, дӕ хорзӕхӕй,…
54. Ч.11. Счет	4	групповая привязка осетинских клипов — сверить на слух	sound/0050.mp3	Рассчитай меня, пожалуйста.	Ӕхца-ма мӕ райс, дӕ хорзӕхӕй.
