clip,lang,prob,text
dataset/44. Времена года/sound/0013.mp3,bg,0.123,"Хахон, Уолдав, Адей Маган, Авдаза Хошу."
dataset/44. Времена года/sound/0014.mp3,ar,0.339,رالوض شجغرين فجد
dataset/44. Времена года/sound/0015.mp3,lt,0.230,"Kudna waržin, facžigun šalfineg avdate."
dataset/45. Год/sound/0001.mp3,fr,0.641,Qu'est-ce à jouer au D. Oui ?
dataset/45. Год/sound/0002.mp3,ro,0.279,Voi-uri m-ai fărășă de nouă zic căgăm ași.
dataset/45. Год/sound/0003.mp3,kk,0.542,"Ині аж, асі аж, маферд, ма тіз кі басаузан, есколама."
dataset/45. Год/sound/0004.mp3,lt,0.165,"Aš asi až, to lakį žin ažu."
dataset/45. Год/sound/0005.mp3,tr,0.430,Ah fazı dargı!
dataset/45. Год/sound/0006.mp3,ar,0.473,دونام عنش
dataset/45. Год/sound/0007.mp3,pl,0.221,Mach Ereje Rajzma.
dataset/46. Дни недели/sound/0001.mp3,fr,0.779,Abonne ce bon eau !
dataset/46. Дни недели/sound/0004.mp3,ru,0.275,"Абон, райщом, у, поришер. Торник, децаг, среда, артецаг, суббота, шабат. Абон, махан, кушка, бон, у."
dataset/46. Дни недели/sound/0012.mp3,hy,0.332,қаùр сі τ Ұ өй Ӫрт өйӪ өйӪ өйӪ төйӪ төй өйӪ мағ  Smack Swiss
dataset/46. Дни недели/sound/0013.mp3,ru,0.305,"Вы, води, довокор и ражма."
dataset/47. Час/sound/0002.mp3,he,0.947,סאו שחת או
dataset/47. Час/sound/0003.mp3,lt,0.202,"5 minut 1. Nertakau ar tašakate. 2. ašakate amma fonds minutu. Vy? Dį šima chsalčią chatą sauds, sauds. Arbaždachsina. A"
dataset/47. Час/sound/0004.mp3,he,0.301,בואו נדווו שחתו
dataset/47. Час/sound/0017.mp3,he,0.301,בואו נדווו שחתו
dataset/47. Час/sound/0018.mp3,he,0.301,"עכשיו, ארטשחהתו"
dataset/47. Час/sound/0019.mp3,ru,0.667,Дашем Ардагол.
dataset/47. Час/sound/0020.mp3,bg,0.254,фаръщам ордагал.
dataset/47. Час/sound/0021.mp3,af,0.230,"5 minuten, Shaach atrdag."
dataset/47. Час/sound/0022.mp3,tr,0.719,...mam bant kalmak is...
dataset/47. Час/sound/0023.mp3,de,0.167,Manen machen restagnarisch.
dataset/48. Месяцы/sound/0001.mp3,hy,0.666,"Архадсекані, январ, февраль, мар, март, апрель, май, май, июн, июн, июн, июн, август, август, сентябр, сентябр, актябр, "
dataset/48. Месяцы/sound/0002.mp3,pl,0.199,Wyma odpózku zani.
dataset/48. Месяцы/sound/0003.mp3,ro,0.726,"Mai, mai am a ardea ce faci te. Cagda!"
dataset/48. Месяцы/sound/0004.mp3,hy,0.167,"καسم bankrupt avenue, ھمکنு, نتھور, тwfs, ھمکنு, نتھور, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ, ھاغ,"
dataset/48. Месяцы/sound/0009.mp3,hy,0.209,құұұруза қартөфиль қад қасымайлам құсаддавайі менғау на құр қартөф
dataset/48. Месяцы/sound/0011.mp3,hy,0.209,құұұруза қартөфиль қад қасымайлам құсаддавайі менғау на құр қартөф
dataset/48. Месяцы/sound/0016.mp3,lt,0.416,Avgustymar aš sausistam šau dėndi žabolmaturkma.
dataset/48. Месяцы/sound/0017.mp3,kk,0.476,"Салдір мейфащі мақ куамы, аномың шамбалым."
dataset/48. Месяцы/sound/0018.mp3,tr,0.826,Abon salam u.
dataset/49. Погода/sound/0001.mp3,ro,0.650,Abon sa va reșteg u.
dataset/49. Погода/sound/0002.mp3,es,0.163,abon churros
dataset/49. Погода/sound/0003.mp3,ru,0.370,А в жар бонжкута.
dataset/49. Погода/sound/0006.mp3,ru,0.303,Дождь!
dataset/49. Погода/sound/0009.mp3,fr,0.481,A bon antif wajal anoud.
dataset/49. Погода/sound/0010.mp3,lt,0.251,Varge mirdėm gabonų.
dataset/49. Погода/sound/0011.mp3,uk,0.438,Расштаджю сводками уштай.
dataset/49. Погода/sound/0012.mp3,bg,0.255,Сава ръща го зан Райшом. Дош! Райшом Узани Варн!
dataset/49. Погода/sound/0013.mp3,lt,0.206,Boni de kaug ambiši.
dataset/49. Погода/sound/0015.mp3,de,0.449,"Meet Bonne Verzag, Ambiche."
dataset/49. Погода/sound/0016.mp3,lt,0.309,Maruose. Daun astigraduose karmhu ažal.
dataset/49. Погода/sound/0017.mp3,ro,0.491,"A-bun se disseajă bune, școdta."
dataset/49. Погода/sound/0018.mp3,ru,0.728,Здесь ращтагхахты Ам-Ивгоу.
"dataset/50. Ч. 1. В городе, селе/sound/0001.mp3",ru,0.945,"Селе, часть первая, я мы..."
"dataset/50. Ч. 1. В городе, селе/sound/0002.mp3",he,0.348,"עש, מאח, בצג, חתן, שאתם שמח גורת קורא"
"dataset/50. Ч. 1. В городе, селе/sound/0003.mp3",ar,0.899,مه مارجر دم تنق فسدي وغورة وقو
"dataset/50. Ч. 1. В городе, селе/sound/0005.mp3",pl,0.260,"Szefieny niż uagorate, tały."
"dataset/50. Ч. 1. В городе, селе/sound/0006.mp3",pt,0.259,"Punt, abrindo a valhude."
"dataset/50. Ч. 1. В городе, селе/sound/0011.mp3",de,0.405,Ich komme am autobusste Stanz. Uhraschei-Fidiratzei-Sberbanke Heiert. Waluta-Ivan-Punk-Wag-Sau
"dataset/50. Ч. 1. В городе, селе/sound/0012.mp3",he,0.336,דחור שחי
"dataset/50. Ч. 1. В городе, селе/sound/0013.mp3",ar,0.810,تختر سو
"dataset/50. Ч. 1. В городе, селе/sound/0014.mp3",ru,0.866,"Под воду. Бауром, машина, вордон. Тирик течет."
"dataset/50. Ч. 1. В городе, селе/sound/0015.mp3",lt,0.386,Tirkalığı goratığı zaučiokau aštautie
dataset/50. Ч. 2. Заблудиться/sound/0001.mp3,kk,0.435,"Аж мах, фазаралдан, фазаралістам. Вгоры! Басамон манен, басамонен, фандагд каумы, горат ма, ойжегдон ма."
dataset/50. Ч. 2. Заблудиться/sound/0011.mp3,en,0.261,Institute
dataset/50. Ч. 2. Заблудиться/sound/0013.mp3,la,0.461,"Basa Monmanen, Basa Monmanen, Camis Schola, Institut Dukani, Schwadon."
dataset/50. Ч. 2. Заблудиться/sound/0015.mp3,lt,0.587,"Žardigon, nėden, amubinat nežonin."
dataset/50. Ч. 3. Мост/sound/0001.mp3,he,0.376,ההסכיד על בסום תשגנו
dataset/50. Ч. 3. Мост/sound/0002.mp3,ar,0.576,أجنى وندن أسخيد الثون
dataset/50. Ч. 3. Мост/sound/0003.mp3,az,0.258,Fırkış məmən kən fələk farsmə bəkijənmə.
dataset/50. Ч. 3. Мост/sound/0004.mp3,ka,0.327,"ām khītša ražin, ām."
dataset/50. Ч. 4. Население/sound/0001.mp3,ro,0.528,Sa-au adăimaj săr-u o gărătă.
dataset/50. Ч. 4. Население/sound/0002.mp3,ar,0.302,ساور آدم خطة ومسر أناس؟
dataset/50. Ч. 4. Население/sound/0003.mp3,mn,0.330,막ępا… mach moon Elliott Keoo sarns clears shakte ukreso ira dte gorz dividend shon michakte ama
dataset/50. Ч. 4. Население/sound/0005.mp3,mn,0.330,∂ ∂ ∂ ∂ ∂ ∀ ∜ �ы ∴ ∫ ∶ ∴ ∶ R без ∗ ∴
dataset/50. Ч. 5. Население/sound/0001.mp3,ru,0.127,Ася сердка ман во рду. Я мы.
dataset/50. Ч. 5. Население/sound/0002.mp3,af,0.477,Man mag van de inalar plie voor te sart fienen.
dataset/50. Ч. 5. Население/sound/0003.mp3,ar,0.338,كد أرسد ورد أسسر
dataset/50. Ч. 5. Население/sound/0004.mp3,de,0.409,auf Schmeron Ingen Kasranisch.
dataset/50. Ч. 5. Население/sound/0005.mp3,he,0.830,"עכשיו שמרון אינגן מממה, אשחצקן"
dataset/50. Ч. 5. Население/sound/0006.mp3,he,0.160,"סואל אדי, מהג'נגד זה איש"
dataset/50. Ч. 5. Население/sound/0007.mp3,ro,0.168,"Asă-vășimărul în ingănă în găd-iș, a fătășmine adăimădge."
dataset/50. Ч. 5. Население/sound/0008.mp3,mn,0.292,Khetakatu kostaisar majardama tanxau.
dataset/50. Ч. 6. Парк/sound/0001.mp3,de,0.799,Fontan
dataset/50. Ч. 6. Парк/sound/0002.mp3,ar,0.743,أليه
dataset/50. Ч. 6. Парк/sound/0003.mp3,ko,0.135,튼그라쇼우드
dataset/50. Ч. 6. Парк/sound/0007.mp3,ro,0.418,Fătză acate asă parce.
dataset/50. Ч. 6. Парк/sound/0008.mp3,tr,0.288,Abadam am bandonul.
dataset/50. Ч. 6. Парк/sound/0009.mp3,uk,0.348,Собаржон Балашу.
dataset/50. Ч. 6. Парк/sound/0010.mp3,ar,0.644,سم أسأليه
dataset/50. Ч. 6. Парк/sound/0011.mp3,ro,0.247,Fășcum să disșon parcăm i.
dataset/50. Ч. 7. Площадь/sound/0001.mp3,ar,0.378,غورة شغراك فجنون كتو
dataset/50. Ч. 7. Площадь/sound/0002.mp3,ar,0.392,أصفى جنوم قد أول
dataset/50. Ч. 7. Площадь/sound/0003.mp3,ar,0.262,لنين شريبا رفاج مماما شخصة تكن
dataset/50. Ч. 8. Рынок/sound/0001.mp3,lt,0.165,Bazar. Wa-gorat kaue bajar iš...
dataset/50. Ч. 8. Рынок/sound/0003.mp3,pt,0.396,e dar um bajar.
dataset/50. Ч. 8. Рынок/sound/0004.mp3,de,0.992,Komm ich am Fadeh.
dataset/50. Ч. 8. Рынок/sound/0005.mp3,fa,0.316,اخشر خالشر شد پویلون
dataset/50. Ч. 9. Улица/sound/0001.mp3,pl,0.195,Kostachita Górawa Kamm isz
dataset/50. Ч. 9. Улица/sound/0002.mp3,de,0.572,"Pushkine, Ketakate, Osteie und..."
dataset/50. Ч. 9. Улица/sound/0004.mp3,de,0.882,Komm ich scheirag unge.
dataset/50. Ч. 9. Улица/sound/0005.mp3,ar,0.496,كدوم عسوى جنوم
dataset/50. Ч. 9. Улица/sound/0006.mp3,ro,0.278,"Mană ați o un găl, somn!"
dataset/50. Ч. 9. Улица/sound/0007.mp3,ru,0.170,"Собираног, хазарта и шаасовунде."
dataset/51. Ч.1. Адрес/sound/0001.mp3,id,0.626,The Addris Mamen Rat
dataset/51. Ч.1. Адрес/sound/0002.mp3,ro,0.698,"ne făși, ne fășiut taboaf și mă adres."
dataset/51. Ч.1. Адрес/sound/0003.mp3,tr,0.530,Adriştin najonun.
dataset/51. Ч.1. Адрес/sound/0004.mp3,ru,0.297,и отрешен на жёны.
dataset/51. Ч.1. Адрес/sound/0005.mp3,de,0.975,der Adrichmamen firkuschen können.
dataset/51. Ч.2. Бандероль/sound/0006.mp3,en,0.463,Comitions Am Bandirolta.
dataset/51. Ч.2. Бандероль/sound/0007.mp3,ps,0.393,a سب بندی رولم آرویت دخور جخی
"dataset/51. Ч.3. Конверт, бланк/sound/0008.mp3",yi,0.361,מרקו כנביר. כמבלכנן איש ושיני גחת מרקו כאונביר.
"dataset/51. Ч.3. Конверт, бланк/sound/0009.mp3",ar,0.369,ها فرماما
dataset/51. Ч.4. Открытка/sound/0015.mp3,sq,0.377,"Vasha Vapar. Ravdishma, Rima Amam, Ad-Kritka Kafkaze, Iristone, Vagorate, Vaparchenev Tima."
dataset/51. Ч.4. Открытка/sound/0017.mp3,la,0.564,Say our own us at critical.
dataset/51. Ч.5. Письмо/sound/0002.mp3,bg,0.261,Дектуй! Та бувавши седефанды на фъшен зур! От прав!
dataset/51. Ч.5. Письмо/sound/0007.mp3,bg,0.261,Дектуй! Та бувавши седефанды на фъшен зур! От прав!
dataset/51. Ч.5. Письмо/sound/0018.mp3,ru,0.554,Диктуй. Табовщий.
dataset/51. Ч.5. Письмо/sound/0019.mp3,uk,0.222,Сидава на фишен зур.
dataset/51. Ч.5. Письмо/sound/0020.mp3,ro,0.657,Asepi ișmă ma arvii.
dataset/51. Ч.5. Письмо/sound/0021.mp3,tr,0.600,Puştu aşıcını bar.
dataset/51. Ч.5. Письмо/sound/0022.mp3,tr,0.440,"barmın rad, dağımı, işmotı, fışının."
dataset/51. Ч.5. Письмо/sound/0023.mp3,he,0.326,מענן תנג אך ששגון בוזני דוי אישמות האישן
dataset/51. Ч.5. Письмо/sound/0024.mp3,he,0.827,מי שמותן מנסו אב דצשתות
dataset/51. Ч.5. Письмо/sound/0025.mp3,ro,0.406,Aș vă arzeni bismotă fșin.
dataset/51. Ч.5. Письмо/sound/0026.mp3,bg,0.221,Аз на варзен пищ мото-фишен.
dataset/51. Ч.5. Письмо/sound/0027.mp3,kk,0.403,Асып өшмоді дахоржақей шошланма рад
dataset/51. Ч.5. Письмо/sound/0028.mp3,bg,0.387,Бужник дъб измойта хрей.
dataset/51. Ч.5. Письмо/sound/0029.mp3,hr,0.786,Sa obona sa opišmo masškuma.
"dataset/51. Ч.6. Почта, телеграф/sound/0030.mp3",lt,0.463,"Telegraph, Telefon, Internetu slogi dostupą. Bahaterkan, kam i am počte, Telegraph, Telefon, Telefon, Automat, Internet,"
"dataset/51. Ч.6. Почта, телеграф/sound/0031.mp3",ro,0.202,Cud a zerda oa telefonai.
"dataset/51. Ч.6. Почта, телеграф/sound/0032.mp3",mn,0.167,"Manzurenkawe, TV-fone, Goratma, Tard, Achochma"
dataset/51. Ч.7. Телеграмма/sound/0006.mp3,de,0.235,"Am Telegrammathe, Comissions, manffande Telegramm, Arbiten."
dataset/51. Ч.7. Телеграмма/sound/0007.mp3,cs,0.164,Arvikma asetiligramma.
dataset/51. Ч.7. Телеграмма/sound/0035.mp3,cs,0.164,Arvikma asetiligramma.
dataset/51. Ч.7. Телеграмма/sound/0036.mp3,ru,0.694,Кадных отца узанний телеграмма.
dataset/51. Ч.8. Парикмахерская/sound/0001.mp3,he,0.654,אמך חיודעשם כמי
dataset/51. Ч.8. Парикмахерская/sound/0002.mp3,de,0.878,Man von der Marine Taschen.
dataset/51. Ч.8. Парикмахерская/sound/0003.mp3,tr,0.679,Man Fendi Masha'r Alvinin
dataset/51. Ч.8. Парикмахерская/sound/0004.mp3,tr,0.848,Şardaşındım.
dataset/51. Ч.8. Парикмахерская/sound/0005.mp3,ar,0.180,شرداشا ومني
dataset/51. Ч.8. Парикмахерская/sound/0006.mp3,kk,0.590,"Машің кунтамамін алвын, сабірдер, аггар, сабір куднавай афді."
dataset/51. Ч.8. Парикмахерская/sound/0007.mp3,ps,0.185,خشکارد ماشین کمامم اور دخورشخی
dataset/51. Ч.8. Парикмахерская/sound/0009.mp3,de,0.820,"Man von der Masukuta-Scha-Horen, Schgabalsik kannn."
dataset/51. Ч.8. Парикмахерская/sound/0010.mp3,tr,0.839,"Aramamın Köşen, Şarı Vaşın"
dataset/51. Ч.8. Парикмахерская/sound/0011.mp3,tr,0.237,Man-tav-ı Manikürşkanın.
dataset/51. Ч.8. Парикмахерская/sound/0012.mp3,he,0.303,כשמטיקון קבינת ועמש
"dataset/52. Фотография, фототовары/sound/0001.mp3",pt,0.344,Foto Tavara.
"dataset/52. Фотография, фототовары/sound/0002.mp3",ru,0.390,Хожусь камсар. Я мы.
"dataset/52. Фотография, фототовары/sound/0003.mp3",de,0.849,Man macht von demer.
"dataset/52. Фотография, фототовары/sound/0004.mp3",tr,0.268,Fandina hoşçusun.
"dataset/52. Фотография, фототовары/sound/0005.mp3",ro,0.254,"Că-c tăi! Tă-a boaf și cu-tă, cu-doa."
"dataset/52. Фотография, фототовары/sound/0006.mp3",ar,0.281,فندد وخشيشين
"dataset/52. Фотография, фототовары/sound/0007.mp3",kk,0.418,"Нас! Шишмамын, Шишмамын, Ма, Не, Хочң ахай, Шарма, Аштейлайуалама, Батгайя. Камті, сад тіка дузыщі. Түмейш фотографірова"
"dataset/52. Фотография, фототовары/sound/0008.mp3",ru,0.240,"Афтышло, афтышло, уйден, ажуон, да, уохоз, сишон."
"dataset/52. Фотография, фототовары/sound/0014.mp3",ru,0.313,"Афтышло, афтышло, уйден, ажу,"
"dataset/52. Фотография, фототовары/sound/0015.mp3",he,0.847,דווחו שישון
"dataset/52. Фотография, фототовары/sound/0016.mp3",lt,0.841,"žirdūl dar nenmāmen, dekam balavarkan."
"dataset/52. Фотография, фототовары/sound/0017.mp3",lt,0.406,žerdūldarunandin makam lavarkanin.
"dataset/52. Фотография, фототовары/sound/0018.mp3",nn,0.149,Man Balhanen Gauhø Pljonka
"dataset/52. Фотография, фототовары/sound/0019.mp3",he,0.550,כמה בחנן אישאם חוששן זו מתת
dataset/53. Ч.1. Ванна/sound/0001.mp3,pl,0.471,Dóż Bania. Man von D. Machinenin.
dataset/53. Ч.1. Ванна/sound/0002.mp3,fr,0.257,"Camille Ouvane, douche, abana."
dataset/53. Ч.1. Ванна/sound/0003.mp3,he,0.784,כמום איש חי שחשן
dataset/53. Ч.1. Ванна/sound/0004.mp3,ja,0.418,ワカウーアバナイシ
dataset/53. Ч.10. Шитье/sound/0003.mp3,az,0.383,mazardı iş qalaf bakhuin kanın.
dataset/53. Ч.10. Шитье/sound/0010.mp3,az,0.383,mazardı iş qalaf bakhuin kanın.
"dataset/53. Ч.2. Гость, гостиница/sound/0001.mp3",ps,0.255,میدم a rasaut و خورشخی و از جتا شپادود
dataset/53. Ч.3. Дверь/sound/0001.mp3,he,0.172,דואר מהבקן דחורשחי דואר דגו כמש
dataset/53. Ч.3. Дверь/sound/0002.mp3,ps,0.282,doarma sıkge dachorzakhai csidhe mida ma
dataset/53. Ч.4. Окно/sound/0001.mp3,ps,0.269,Ruzangma Bakha Shakhka Dachorzakhai Ruzangma Rakhash
dataset/53. Ч.8. Стирка/sound/0008.mp3,kk,0.270,"Магерштамы, ақшен ма рәттен кауы. Магерштамын тғағд нұстышті, дұұржағай, мағадонғл мағен, и түауар."
dataset/53. Ч.9. Чистка/sound/0002.mp3,ru,0.285,"Макastюм, пиджак, халавк, або, юбка, щези коттон."
dataset/53. Ч.9. Чистка/sound/0003.mp3,kk,0.417,"Заума жұдіқңын ма кадым радділа, кадрайдаін сқушін."
dataset/53. Ч.9. Чистка/sound/0004.mp3,kk,0.515,"Елбонма, ныşіңда кңзыщі жалма, хор жұрайшам, арбауайзінын."
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0004.mp3",ar,0.246,سوم قونا نوع
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0005.mp3",nl,0.289,"Garandonma, bouwfeetma. Eet het stol?"
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0019.mp3",ro,0.572,Asăștol.
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0020.mp3",de,0.157,Bandon 8-0.
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0021.mp3",lt,0.335,"Dieme ʻašbādın ambalū, vieme ʻašbādın ambalū."
"dataset/54. Ч.1. Ресторан, буфет, столовая/sound/0023.mp3",pl,0.920,"Ta była wsi, spad, spadłut."
dataset/54. Ч.10. Приправа и специи/sound/0041.mp3,ru,0.606,"уксус, рассол из чеснока."
dataset/54. Ч.10. Приправа и специи/sound/0042.mp3,cs,0.646,"Sakh garcíce, šrce vři."
dataset/54. Ч.10. Приправа и специи/sound/0043.mp3,bg,0.229,Бърс уксус за Амари.
dataset/54. Ч.10. Приправа и специи/sound/0044.mp3,he,0.505,נור זכטון רחש.
dataset/54. Ч.11. Счет/sound/0002.mp3,ps,0.213,اخسامانا رایش دخورشخی خضما راخش دخورشخی
dataset/54. Ч.11. Счет/sound/0013.mp3,kk,0.298,қсаманен раеш дахор жахай
dataset/54. Ч.11. Счет/sound/0014.mp3,ps,0.315,اخسامان رایش دخور جخی خضم را خش دخور جخی
dataset/54. Ч.11. Счет/sound/0050.mp3,kk,0.298,"Ах саманен, раич дахор жахай."
dataset/54. Ч.11. Счет/sound/0051.mp3,ps,0.367,اخسامان رایش دخور جخی
dataset/54. Ч.11. Счет/sound/0052.mp3,ru,0.172,Гудма рахащ дахоржа хай.
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0002.mp3",kk,0.265,"өбахортай, бахортай, агодан, шіңор, аүшавар бахортай, бахортай."
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0004.mp3",kk,0.265,"өбахортай, бахортай, агодан, шіңор, аүшавар бахортай, бахортай."
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0010.mp3",he,0.277,"אז, מה, אךורמקדן?"
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0011.mp3",he,0.419,"אךור מג, שתם."
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0012.mp3",ar,0.791,من مخارن سو
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0013.mp3",kk,0.167,"Сом ахудан, шихор ахшавар бахаран. Я, тмы!"
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0016.mp3",tr,0.684,Donu Ajin'tam Donu Ajin'tam Sağol
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0018.mp3",he,0.550,"חרינה גשקן מממה, ממש,"
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0021.mp3",fa,0.326,آخودن شیخور اخشاور سوو اشتد کننش
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0024.mp3",pl,0.164,"Yes! Raśma, Raśutma!"
"dataset/54. Ч.2. Завтрак, обед, ужин/sound/0025.mp3",ru,0.296,ахаром ахарутма да и хоржаха
dataset/54. Ч.3. Меню/sound/0003.mp3,hy,0.454,"ā fi tisantke, farmzder maa Ṭqan dachorzachai, tüng tachtkannam, tüng tachtkannam."
dataset/54. Ч.3. Меню/sound/0008.mp3,hy,0.334,"à fi צánt кけ, فرافز در مה کن داخור жахей..."
dataset/54. Ч.3. Меню/sound/0009.mp3,de,0.506,"Tünktart können, Tünktart können."
dataset/54. Ч.3. Меню/sound/0011.mp3,hy,0.334,افیKn tándke فаровزדר ما came da ho�네rrushach
dataset/54. Ч.3. Меню/sound/0012.mp3,de,0.506,"Tünktart können, Tünktart können."
dataset/54. Ч.4. Закуски/sound/0013.mp3,kk,0.335,"раха шмамен, раха шмамен дахорзахай ишвам."
dataset/54. Ч.4. Закуски/sound/0014.mp3,lv,0.422,"Kalbaš, Luk, Adenste, Agurci, Jit Rite"
dataset/54. Ч.4. Закуски/sound/0017.mp3,tr,0.425,Amin dorthu.
dataset/54. Ч.4. Закуски/sound/0018.mp3,tr,0.592,Bultçete. Selat. Salat.
dataset/54. Ч.4. Закуски/sound/0023.mp3,uk,0.570,"Кабушкає, редискатей, діт ритей. Сир, сахчисно. Нур."
dataset/54. Ч.5. Первые блюда/sound/0002.mp3,yi,0.322,"אבר ממ�'מם דחור שחי בורש, מיסנוי, סזמיתהנא בורש, זיזי, מנה, הנזיזי, אך שרשארטים בוליון בוש"
dataset/54. Ч.5. Первые блюда/sound/0003.mp3,hy,0.300,پرنس اخشر ایسای ارخب
dataset/54. Ч.5. Первые блюда/sound/0009.mp3,hy,0.300,پرنس اخشر ایسای ارخب
dataset/54. Ч.6. Вторые блюда/sound/0009.mp3,lt,0.405,Fetcinuom isš Waliibach Waliibach uomis Kartovcinuom isš Sakharadžen Pirok načinionai listimis vikliis ir Sakharadžinuom
dataset/54. Ч.6. Вторые блюда/sound/0017.mp3,ar,0.707,فشفة دوام قدر فخائي اش
dataset/54. Ч.6. Вторые блюда/sound/0018.mp3,ru,0.437,Катлет.
dataset/54. Ч.6. Вторые блюда/sound/0019.mp3,ar,0.507,جو جفد
dataset/54. Ч.6. Вторые блюда/sound/0020.mp3,lt,0.216,Karčiofud. Mazgi. Maši.
dataset/54. Ч.6. Вторые блюда/sound/0022.mp3,lt,0.475,Wirkti. Ryba. Kašag.
dataset/54. Ч.6. Вторые блюда/sound/0024.mp3,bg,0.361,Сасиската!
dataset/54. Ч.6. Вторые блюда/sound/0025.mp3,ar,0.359,روض فدوام إش
dataset/54. Ч.6. Вторые блюда/sound/0026.mp3,pl,0.293,"Tylałym, iść."
dataset/54. Ч.7. Напитки/sound/0027.mp3,ru,0.816,Минир Алон Дон. Какал. К Вас. Омал. Кефир. Мишен. Кисель. Кампот. Малоко. Ахшар. Пива Асетинская. Ирон Багану. Ситро. Си
dataset/54. Ч.7. Напитки/sound/0038.mp3,ja,0.234,サイリモニム
dataset/54. Ч.8. Порция/sound/0002.mp3,ru,0.165,раха шма до хоржахой порции орда котлета одну порцию 2
dataset/54. Ч.8. Порция/sound/0003.mp3,uk,0.902,Тирі 4 порці шашлика. І у порці 2 арте сапар порцій Фіжонег.
dataset/54. Ч.8. Порция/sound/0008.mp3,fr,0.923,Devant.
dataset/54. Ч.8. Порция/sound/0009.mp3,bg,0.462,Ю Аговже до ОАРТА с пар Аговже е компот.
