path,lang,prob,text
sound_0000077.mp3,en,0.409,
sound_0000078.mp3,ru,0.174,ВАГЗАЛ!
sound_0000079.mp3,ru,0.261,станций. Урошие Федерации Сбербанка хаяд.
sound_0000080.mp3,uk,0.654,Серік течет по середіні города Владіка Вказа. Тір коли городи за одякову аштабці…
sound_0000081.mp3,ru,0.980,что? покажем мне нам дорогу в силу в город в горе
sound_0000082.mp3,ru,0.467,"Ищем из школа институт Дукани Швадон. Я не здешний, не знаю местности. Аж Ардегоннадан, Амбнадта Наж"
sound_0000083.mp3,ar,0.592,أسخي دل باسعون تشي
sound_0000084.mp3,en,0.311,Shagno.
sound_0000085.mp3,ar,0.306,جنى واندن آسخيدل سون
sound_0000086.mp3,ru,0.982,"Паршма, Бахыжинма. Здесь надо построить мост. Ам Хыча Ражинкова."
sound_0000087.mp3,ro,0.407,Sa-au adăimaj săr-u o agorăt…
sound_0000088.mp3,ar,0.871,ساور عدم خطة ومسر
sound_0000089.mp3,ar,0.316,ماخم ماخورة
sound_0000090.mp3,mn,0.235,"Qoua, Sarinsvrš‎"
sound_0000091.mp3,ar,0.522,سرط قمن أفرد
sound_0000092.mp3,af,0.172,van de inalar plie voor te sart fienen.
sound_0000093.mp3,ar,0.448,كد أرسد ورد أسسر
sound_0000094.mp3,de,0.834,"auf Schumoron ingen, kas ran ich."
sound_0000095.mp3,he,0.737,"עכשיו שמרון אינגן מממה, אשחצקן"
sound_0000096.mp3,bg,0.272,"Съл, а да е маджен на год за ищи."
sound_0000097.mp3,ru,0.494,"Асы о вшеморон, Инганинный год, ищ, а в Та шмине Ада и Маджи."
sound_0000098.mp3,hy,0.330,қетapplause қат кұс тай сердosed қаң қаң тҒТак қаң оқ қағаң жаң қаң оқаң вам қаң тҒік сауег.
sound_0000099.mp3,en,0.576,
sound_0000100.mp3,de,0.609,...surmt ...
sound_0000101.mp3,tr,0.179,Arkma.
sound_0000102.mp3,lt,0.413,"Dažiardama, važiardama savi napark."
sound_0000103.mp3,ru,0.710,"Парк фантан, Аллея, очень красивая, красивая."
sound_0000104.mp3,ar,0.363,فتزاق خطة أسفار
sound_0000105.mp3,ru,0.265,"об этом, ам, бандонул."
sound_0000106.mp3,ru,0.947,Пойдем по этой аллее. Сом Ас аллеею. Где находится комсомольский парк? Фашком садишон паркам и...
sound_0000107.mp3,ar,0.494,كورة شيرك فجنم
sound_0000108.mp3,en,0.617,And
sound_0000109.mp3,ru,0.526,"Ленина, доплощите свободы. Ленина, Шарибары, фажма-мама, шходцака."
sound_0000110.mp3,ar,0.125,وغورت قوى باجر إشي
sound_0000111.mp3,pt,0.450,Dar de um bazar...
sound_0000112.mp3,fa,0.360,فده اخشر خالشر شد پویلون
sound_0000113.mp3,pl,0.267,Kostar hita góra.
sound_0000114.mp3,de,0.734,Das kann man in den Kettenketten aussteigen.
sound_0000115.mp3,de,0.951,"Komm ich, Scheirag und ..."
sound_0000116.mp3,ar,0.383,قد أم أسوا ونجنون
sound_0000117.mp3,tr,0.230,
sound_0000118.mp3,fa,0.223,سبیرا نگ خزرتتش آسونج
sound_0000119.mp3,id,0.551,The Adris Mamen Rat
sound_0000120.mp3,ro,0.761,în fășu tabua și mă adresc.
sound_0000121.mp3,ru,0.253,и отристи на Джону.
sound_0000122.mp3,ru,0.840,и адресен на жёным.
sound_0000123.mp3,ar,0.486,أدريس
sound_0000124.mp3,en,0.357,Comitions Am Bandirolta.
sound_0000125.mp3,ru,0.684,Это бандироль.
sound_0000126.mp3,yi,0.422,"כמברכנן איש, ושנגחת."
sound_0000127.mp3,de,0.594,"Aber, maman."
sound_0000128.mp3,ru,0.490,осетьи
sound_0000129.mp3,uk,0.453,"Критка кафкази і рищони, у оборати, у опарчени в тіма. Сколько стоит эта открытка?"
sound_0000130.mp3,he,0.392,דחור
sound_0000131.mp3,he,0.515,אירון
sound_0000132.mp3,pl,0.183,"Nałamaną, wysztań, wysztań..."
sound_0000133.mp3,ar,0.313,تابوا افشي سدفن نفشي
sound_0000134.mp3,ro,0.739,a sa pişmoma arvii.
sound_0000135.mp3,tr,0.237,Puştu Aşıkcını bar
sound_0000136.mp3,tr,0.724,barman radyo mu? iş mota fışının
sound_0000137.mp3,he,0.341,"תנג ערשש גון גוזני, דוי אישמות האישן"
sound_0000138.mp3,he,0.680,"‫אמר, אישמותן, מנסואב, ‫דצשתות."
sound_0000139.mp3,tr,0.395,"Öz, varsın, pişmot afışsın."
sound_0000140.mp3,pl,0.237,Nowarżyn.
sound_0000141.mp3,de,0.667,Bis mothafischen.
sound_0000142.mp3,kk,0.195,ишма дахоржахай шошланма рад.
sound_0000143.mp3,ru,0.715,Сколько дней идет письмо до Москвы?
sound_0000144.mp3,lv,0.230,"Bachatrkan, kām iam počti, telegraph, telefon, telefon, automat, internet, lagad, g…"
sound_0000145.mp3,lt,0.172,Kud azerdau a-tilifonai
sound_0000146.mp3,mn,0.211,ndzuren kawe tvonei. ndzuren kawe tvonei.
sound_0000147.mp3,tr,0.387,Am telegram
sound_0000148.mp3,en,0.524,other commissions.
sound_0000149.mp3,de,0.262,von der Kilogramm ab.
sound_0000150.mp3,tr,0.531,Arvikma Ası Telegram
sound_0000151.mp3,he,0.674,חיודע שם כ...
sound_0000152.mp3,de,0.221,E
sound_0000153.mp3,de,0.883,von der Marinetaschen.
sound_0000154.mp3,tr,0.653,
sound_0000155.mp3,tr,0.431,Şardaşında
sound_0000156.mp3,lt,0.148,Šardasienuom nei...
sound_0000157.mp3,tr,0.318,"Maşarı kuntamamen alın, sıbırdır. Agar, sıbır, kudnavayaftır."
sound_0000158.mp3,fa,0.275,خاش کرد ماشین کمامم آور دخور جخ
sound_0000159.mp3,de,0.868,Mein Fan...
sound_0000160.mp3,he,0.229,מה זה קוטה שחורם שקבל זה כאן
sound_0000161.mp3,ru,0.894,косметический кабинет.
sound_0000162.mp3,pt,0.429,Foto Tavar.
sound_0000163.mp3,he,0.289,חושיש ככה עמסר
sound_0000164.mp3,de,0.713,Mann mach. Fandem.
sound_0000165.mp3,de,0.210,und das Thema Fandena Kostischen.
sound_0000166.mp3,ar,0.275,تابوا عفشي كدوا فندوا وخشيشا
sound_0000167.mp3,ru,0.656,Сидя.
sound_0000168.mp3,ru,0.607,А что вы улыбаете? Когда будут готовы фото карточки? Камте садка дусть
sound_0000169.mp3,fa,0.321,خوز ایشن جونش
sound_0000170.mp3,pt,0.272,VOS!
sound_0000171.mp3,ru,0.434,"ушло, а втошло ут. Ожидан, ажуон, да, уохозь, сишон."
sound_0000172.mp3,lt,0.733,"žerdul dar nenmamin, dakam balavarkan."
sound_0000173.mp3,lt,0.406,žerdūl darunandin makam lavarka
sound_0000174.mp3,he,0.357,כמה בחנן אישאם חושישן זו מתת
sound_0000175.mp3,de,0.771,der Mann von dem Machinen rein.
sound_0000176.mp3,en,0.638,Kami Ovan.
sound_0000177.mp3,ru,0.298,"Душ, або!"
sound_0000178.mp3,ru,0.928,"Комом и шхисаршан. Есть у вас вселенные баня? Уакоуа, а баня."
sound_0000179.mp3,ru,0.211,Дома рассаут в охоржахой. Вась дж...
sound_0000180.mp3,ru,0.961,Дуарма бакан до хоржахой. Где ключ от двери?
sound_0000181.mp3,ru,0.952,Дуарма шахга до хоржахой. Кто там? Войди. Че?
sound_0000182.mp3,ar,0.153,روزنك ما باك شخك دخور جخي
sound_0000183.mp3,ru,0.587,"Моё билё скоро постирают. Магарштаман так, но что ты? Будьте добрый, поглать им не сорочку. Да хоже "
sound_0000184.mp3,ru,0.475,"Макastюм, пиджак, холов, каба, юбка, щези коттон."
sound_0000185.mp3,ru,0.803,Можно сдать вещь в чистку. Залмашер до каннма.
sound_0000186.mp3,ru,0.962,Ротово. Когда они начинают работать.
sound_0000187.mp3,az,0.274,Ədə Əşqalaf bakhuin kanın.
sound_0000188.mp3,ru,0.969,Комсадтокан с Ам Ирон Харинакта. Я еще никогда не ел осетинский кури.
sound_0000189.mp3,lv,0.172,"Bajgum vajie salšākāt mākūsši, resta rān, karandon bufie."
sound_0000190.mp3,ru,0.913,"Сторанно, харандонно, бухетма. Этот стол, стул, не занят? А са штул, бандон, ах штнел? Можно с тобой"
sound_0000191.mp3,pl,0.449,Użę.
sound_0000192.mp3,ru,0.446,Бахортай. Бахортат. Аход...
sound_0000193.mp3,ar,0.203,بخشور بغرطة
sound_0000194.mp3,ar,0.416,
sound_0000195.mp3,de,0.339,ein Kormagstamm.
sound_0000196.mp3,ar,0.691,من مخ
sound_0000197.mp3,ar,0.365,حرن سو
sound_0000198.mp3,ar,0.254,سوم آخودا شيخور أخشفر
sound_0000199.mp3,ru,0.692,
sound_0000200.mp3,de,0.364,"Rina, ich kann ihn mal mal verkächeln."
sound_0000201.mp3,ru,0.543,"Ох, шовр, соу, аж садда канонищ. Угощайся, угощайтесь. Ешь, ешьте, пожалуйста. Райшма, райшутма. Аха"
sound_0000202.mp3,ru,0.941,"Меню мамам авар до хоржахай. Что тебе заказать, вам заказать? Седен, Саун Райшон. Что у вас есть из "
sound_0000203.mp3,ru,0.879,Я мы спешу спеши.
sound_0000204.mp3,hy,0.486,Zoeladowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadowadow
sound_0000205.mp3,fr,0.652,et soit
sound_0000206.mp3,en,0.351,L-B-Sh. L-C. U-D-S.
sound_0000207.mp3,tr,0.479,
sound_0000208.mp3,uk,0.455,"і скопусти, редиса і огурцов. Кабушка, редискатей дітів."
sound_0000209.mp3,ps,0.244,Avar maamam dachor zakhai Bors
sound_0000210.mp3,yi,0.346,"בורש, זיזי מנהזיזי ארהשרשרטים. בוליון. ביי."
sound_0000211.mp3,yi,0.143,"עורן זה, אך שרו, זי שאי,"
sound_0000212.mp3,ru,0.544,Волибах пирог начиненный сыром. Волибах уомишь? Картовчик пирог начиненный картошкой. Картовчиком ищ
sound_0000213.mp3,ar,0.823,فشفه دوام قدر فخائي اشهر
sound_0000214.mp3,ru,0.320,Катлета.
sound_0000215.mp3,ar,0.765,الغوغ جفد
sound_0000216.mp3,en,0.138,Carchafood Mazgi Malj I'm sorry.
sound_0000217.mp3,ru,0.209,Рыба.
sound_0000218.mp3,bg,0.133,Сасиската!
sound_0000219.mp3,ru,0.677,Родоводуом ищ. Я ищница. Тайлауом ищ.
sound_0000220.mp3,ru,0.770,Ниралон Дон Какал К Вас Комбал Кефир Мишен Кисель Кампот Малоко Бива Асетинская Ирон Баганы Ситро
sound_0000221.mp3,ja,0.391,サイリモニム
sound_0000222.mp3,he,0.702,רחש מה דחורך.
sound_0000223.mp3,uk,0.509,Порцей ордакат літта Одну порцю 2-3-4 порцей шашлика І у порцей 2-3-4-4
sound_0000224.mp3,fr,0.767,2
sound_0000225.mp3,bg,0.334,Дуа арта с пара говжей Кампот.
sound_0000226.mp3,ar,0.462,أفر مامن
sound_0000227.mp3,ps,0.223,avert malenda khorje
sound_0000228.mp3,ru,0.445,Ночидор.
sound_0000229.mp3,ja,0.182,You pre-board
sound_0000230.mp3,uk,0.645,"Агувже до уа, Арта, сапар Агувже. Вілку, 2,3,4 вілки. Вілка, до уа, Арта, сапар вілкой. Лошку, 2,3,4"
sound_0000231.mp3,ar,0.360,وارت سبب
sound_0000232.mp3,en,0.782,. . . . . . . .
sound_0000233.mp3,de,0.150,Und jetzt ...
sound_0000234.mp3,en,0.508,
sound_0000235.mp3,ar,0.307,دو وارت
sound_0000236.mp3,ru,0.558,"Табар, два, арта, с парта бары. Что?"
sound_0000237.mp3,ru,0.125,
sound_0000238.mp3,ru,0.784,Сахгарчиц.
sound_0000239.mp3,ar,0.298,شرخ صفج برس اكسوز
sound_0000240.mp3,he,0.503,נור זכתון רחש...
sound_0000241.mp3,en,0.355,NASA
sound_0000242.mp3,ps,0.162,و خسامانا رایش دخورشخ ای
sound_0000243.mp3,ps,0.176,و خدما راخش دخور شخی
sound_0000244.mp3,de,0.689,Promischlinneste
sound_0000245.mp3,bg,0.256,Савър хостя параха дърщата гориспублика.
sound_0000246.mp3,ru,0.333,"в Агурати, в Арае он."
sound_0000247.mp3,bg,0.158,"Ахра е не е, като го ще промышлен."
sound_0000248.mp3,ru,0.425,металлургион.
sound_0000249.mp3,ru,0.321,Фабрик.
sound_0000250.mp3,lt,0.478,"krajojonį sėlė, korodį, respublikį. Biurai žavodą fabrikatą, salžavodą fabrikai, savaržavodą fabrika"
sound_0000251.mp3,hr,0.380,savor produkci u asje u ožavod.
sound_0000252.mp3,pt,0.458,na fábrica. Sal cucha disso hoje a avô de ovo a fabrica.
sound_0000253.mp3,de,0.649,"Eschkuschen, machkuschen."
sound_0000254.mp3,ro,0.388,pilictrațin
sound_0000255.mp3,de,0.281,und die Wagen-Terie-Mundgenen-Javod.
sound_0000256.mp3,ar,0.171,وزار زومتغن
sound_0000257.mp3,pl,0.860,masziniata ganan żawody.
sound_0000258.mp3,uk,0.324,"Фабрики. Жаводи, фабрикий директор. Чи?"
sound_0000259.mp3,fa,0.408,آنخاش کنن تو
sound_0000260.mp3,ar,0.547,مجرد مفاصد واجع
sound_0000261.mp3,ru,0.925,"Средний зарабаток в месяц. Какой у тебя оклад? Прямие часто получаете? Я приехал, мы приехали изучит"
sound_0000262.mp3,ar,0.230,سرن خزرت اراجن قطق طوام قدشت وقوة رايون
sound_0000263.mp3,tr,0.419,Arıştadığı nok metadayı payda kanun
sound_0000264.mp3,la,0.337,a rayon res publiquei.
sound_0000265.mp3,ar,0.585,عرشتها دون دور عرشتها دون قد توف
sound_0000266.mp3,ar,0.294,فوز يستوط عرش تد أسجا ود خزار
sound_0000267.mp3,bg,0.174,"Въща да проекти, мамама бажонгък."
sound_0000268.mp3,en,0.423,Part Shindig
sound_0000269.mp3,ru,0.572,наш целый хазар.
sound_0000270.mp3,hy,0.166,qancau fénnedžite
sound_0000271.mp3,fa,0.567,ساور قوان خزارادون کشن دونه کشش
sound_0000272.mp3,ar,0.503,وشتتكاً نرتكاً وزخ كوشاجون فيرميرون
sound_0000273.mp3,ar,0.316,شمخ ودون خزارا دنرتكا خمكا
sound_0000274.mp3,uk,0.555,"Мене у Нартхор. Сажають картофель. Шази картоф. Полетку кукурузу, свіклу. Руви Нартхор, сахара. Огуч"
sound_0000275.mp3,uk,0.211,Драгдонми.
sound_0000276.mp3,ru,0.882,хозяйстве. У нас в хозяйстве работает 120 человек.
sound_0000277.mp3,ru,0.243,"в прошлом герстасадтасти, в Алзегон, Куштетам, в Азжегон, Куштетам."
sound_0000278.mp3,ja,0.413,シャーゴイ巻かう
sound_0000279.mp3,ru,0.388,
sound_0000280.mp3,cs,0.215,Toshk Makau Kassá Sava Gmakau
sound_0000281.mp3,en,0.376,Blue
sound_0000282.mp3,en,0.520,
sound_0000283.mp3,ru,0.896,Тябка.
sound_0000284.mp3,ru,0.356,и в бедрон.
sound_0000285.mp3,de,0.916,Stand.
sound_0000286.mp3,ar,0.180,خمجة خوم سالجيكتر
sound_0000287.mp3,ru,0.191,"Народ хорен, манован, картофон, жах саш бахом коттан."
sound_0000288.mp3,tr,0.238,"Kudbiri varzın ış anakaronu, vuruşşak bederte."
sound_0000289.mp3,ka,0.678,sum war taut sütz ach nal abad
sound_0000290.mp3,ar,0.299,فنفن بدرون دي ديينجتبوكات ارطون
sound_0000291.mp3,ru,0.631,Вот секретарь.
sound_0000292.mp3,ru,0.209,"Калхоза Шардар, Сафхозы..."
sound_0000293.mp3,ru,0.965,Ваше правление в вашем колхозе. Когда будет заседать ваши правления? Ва правлении амбортка дузань. К
sound_0000294.mp3,he,0.787,שמה אחמה בנתון מק...
sound_0000295.mp3,bg,0.267,
sound_0000296.mp3,tr,0.190,Kudfasatta kan...
sound_0000297.mp3,de,0.512,mitgegte Form.
sound_0000298.mp3,tr,0.414,Asımık gikte horş şefjeriniz.
sound_0000299.mp3,ru,0.798,Это хороший плохие семена.
sound_0000300.mp3,ro,0.194,Să avă că a sântei făziut o bidărtăm.
sound_0000301.mp3,kk,0.345,"Мақне будірті, на сахарадыті, на пырқынам, файд жі жін, Мініра лон касанте."
sound_0000302.mp3,ka,0.702,"Patt saber kémikón,"
sound_0000303.mp3,ar,0.417,كدوام رجادي أسعى
sound_0000304.mp3,ru,0.969,"лучше хуже урожай, чем в прошлом."
sound_0000305.mp3,kk,0.486,"фаронайным асаж хушдір, авжердір, ржад тулыг."
sound_0000306.mp3,ro,0.505,"A viet ptiți! Sa-i șiși firmă i-fos. Dus că, cuțete, chășc cuțete..."
sound_0000307.mp3,de,0.268,"Ich habe eine gute, füchte Märkte."
sound_0000308.mp3,ru,0.683,"Фермы и Арташа до Дуська Куджи. Десять, пятнадцать тысяча вец. Дашь фанташминфэшэ. Я, мы хочу, хотим"
sound_0000309.mp3,tr,0.422,alak ugeydir. Rışt.
sound_0000310.mp3,ru,0.363,"Угайдер ращтым бишным мадей, Дусанс, Ахшардаш литр. Где содержится ваш..."
sound_0000311.mp3,uk,0.547,Вакабилти. Тілята. Ротти. Єгнята. Варачити. Казлята. Шенетчити. Цеплята. Цюте.
sound_0000312.mp3,ru,0.423,Савар была штажая у одражды.
sound_0000313.mp3,bg,0.182,"Мах дърг да он изжая, фатката, кардата, чела..."
sound_0000314.mp3,ru,0.307,"Уйте, болт!"
sound_0000315.mp3,lt,0.856,"Srašių dėdinag akaltuai, dradonai fatko balaštė."
sound_0000316.mp3,ar,0.691,درغضون مجيلا
sound_0000317.mp3,ar,0.873,وسخرادون اشكحته
sound_0000318.mp3,uk,0.355,"Ми посадем лук, чеснок, морковь, свіклу, помідори. Мах нещадцичтам, адинста, нурта, виризата, сахара"
sound_0000319.mp3,en,0.550,So
sound_0000320.mp3,ar,0.171,ورقاء
sound_0000321.mp3,fr,0.371,les gens t'adontent.
sound_0000322.mp3,en,0.260,What the fuck?
sound_0000323.mp3,kk,0.317,өпердің өпердің өпердің амамің өпердің амамің дахоржақей.
sound_0000324.mp3,tr,0.478,Vur kaşantılam is...
sound_0000325.mp3,ru,0.353,"Шеваллон, бинтон Гетелтон. Сколько этой игрушка стоит? Сашиаргу осокажен."
sound_0000326.mp3,ru,0.925,"Я беру эту игрушку, эти игрушки."
sound_0000327.mp3,lt,0.230,"Kampak diskty, kas etatavom iš..."
sound_0000328.mp3,de,0.382,kompakt diskut
sound_0000329.mp3,bg,0.614,сетата са върта ища.
sound_0000330.mp3,ka,0.216,"Еї жармаманда хоржа кай еюг орд visas, компакт дискты, касетата, еронмузыка."
sound_0000331.mp3,en,0.633,
sound_0000332.mp3,en,0.273,other version.
sound_0000333.mp3,tr,0.254,"Jardı'ta kafene, sinfoniyon, o pek..."
sound_0000334.mp3,ro,0.275,Arun Adamon muzica
sound_0000335.mp3,ru,0.536,Савер Кинутовомич и рыштона истории Орза Тахай. Не хочешь ли прослушать посмотреть компакт диск?
sound_0000336.mp3,tr,0.511,Kors çözgü...
sound_0000337.mp3,en,0.202,
sound_0000338.mp3,ru,0.946,"Пожалуйста, одну тетрадь. Две, три, четыре тетрадь. Пачку, две, три, четыре пачки. Пищи, бумаги, авт"
sound_0000339.mp3,ar,0.195,برابان
sound_0000340.mp3,ru,0.858,Гармой гитар.
sound_0000341.mp3,hi,0.184,Fender Guitar Ishwam Sayar Huma
sound_0000342.mp3,ru,0.810,"Манковые гитары, мандалинные, балалайка и теллта."
sound_0000343.mp3,de,0.785,"Die Schwung ist ab, sauber, Aunsen, Die waren, Eiden, Schintag, Tümbel, Fischen, Stol, Fallen,"
sound_0000344.mp3,la,0.229,"Crisla, uavd, fons, fons min showme ar..."
sound_0000345.mp3,ru,0.154,"Что за ума вам, как оражен?"
sound_0000346.mp3,en,0.486,button.
sound_0000347.mp3,en,0.244,Pitch in it.
sound_0000348.mp3,ru,0.183,обращезу.
sound_0000349.mp3,de,0.659,Schau zu!
sound_0000350.mp3,pt,0.371,Sasha do Cole.
sound_0000351.mp3,ar,0.152,
sound_0000352.mp3,en,0.660,Do what?
sound_0000353.mp3,pl,0.317,Kilogramy.
sound_0000354.mp3,ru,0.215,Что?
sound_0000355.mp3,de,0.385,Die Juburranke. Schau!
sound_0000356.mp3,en,0.177,So
sound_0000357.mp3,ru,0.772,"Завернуть их вместе. Батухонс и ума. Да, пожалуйста. О, до хоржа хай. Нет, спасибо. Я их положу в су"
sound_0000358.mp3,nl,0.273,Bale Achschensen
sound_0000359.mp3,lt,0.392,"Vrškafty varinau om iš? Daimni banku dvie bankii varinie, gymą. Avar maman ių bankai dv. varinau gym"
sound_0000360.mp3,tr,0.849,Killa da gramın amınıza aşpar. Killa gram.
sound_0000361.mp3,ru,0.202,Сахарный песок у вас есть?
sound_0000362.mp3,tr,0.338,Savaş çantalım işin
sound_0000363.mp3,ru,0.547,Кагор?
sound_0000364.mp3,en,0.485,
sound_0000365.mp3,la,0.596,"Kagore, likeore, shampanski, avg, doa, arta avgimamen."
sound_0000366.mp3,en,0.124,Boscatian Nakawu
sound_0000367.mp3,ru,0.768,"Не плохо бы выпить лимонада. Пива ситро минеральной воды. А в жарной лимонад, баганы ситро минералом"
sound_0000368.mp3,ru,0.368,что рафа дуэм.
sound_0000369.mp3,de,0.270,"2 kg Mamen, 4 Feds Abar"
sound_0000370.mp3,ru,0.553,"Сэшфэдейконт Фейжоног, Фолдаруаржен. А ты реш me отсюда 2 кг."
sound_0000371.mp3,ru,0.566,оба швом и швом.
sound_0000372.mp3,kk,0.234,өнғанық өт ұұтін ұр үтін ұраң құқ Jie қың ұті өм қық өті ұлін өйқ өтің өң қың.
sound_0000373.mp3,lt,0.421,Čiši sesiskatų sardelka tu kilogrammaman avar.
sound_0000374.mp3,ru,0.423,Савар концертал.
sound_0000375.mp3,en,0.392,I
sound_0000376.mp3,he,0.907,‫המחמא איש סיג...
sound_0000377.mp3,ja,0.650,ディザイコンセルフト
sound_0000378.mp3,ru,0.648,"Дальше, дырчатые консервы. Дай мне банку, две, три банки, говяжих консервов."
sound_0000379.mp3,uk,0.414,"Штура зі заеконт, концерфта. Рибних концервів. Касаджі концерфта."
sound_0000380.mp3,ar,0.682,سوف أرغب في الطوم
sound_0000381.mp3,az,0.221,"Makhma işək hükkələt qafətdər, humat qafətdər."
sound_0000382.mp3,tr,0.268,"Avırmaman Yük Aropka, duvuşa da..."
sound_0000383.mp3,tr,0.116,"Savr, krupa, ta'wam, iş..."
